Folder   CrystalOptimizer_Utot (kJ/mol)   CrystalOptimizer_Density (g/cm3)
517        -59.33663                      1.336500                      
518        -59.33168                      1.262000                      
519        -59.29419                      1.217100                      
520        -59.28847                      1.186400                      
521        -59.26530                      1.194700                      
522        -59.26189                      1.216500                      
523        -59.26177                      1.203200                      
524        -59.25736                      1.225200                      
525        -59.25197                      1.159400                      
526        -59.24970                      1.240300                      
527        -59.24539                      1.249200                      
528        -59.23891                      1.266200                      
529        -59.20467                      1.210600                      
530        -59.20255                      1.279800                      
531        -59.19506                      1.242400                      
532        -59.18573                      1.258400                      
533        -59.16285                      1.169500                      
534        -59.15857                      1.226200                      
535        -59.15828                      1.273600                      
536        -59.15247                      1.162000                      
537        -59.13659                      1.231100                      
538        -59.10650                      1.237800                      
539        -59.09894                      1.206900                      
540        -59.09377                      1.203900                      
541        -59.08003                      1.213700                      
542        -59.02889                      1.281700                      
543        -59.01812                      1.193900                      
544        -59.00483                      1.208400                      
545        -58.99517                      1.300000                      
546        -58.97589                      1.278300                      
547        -58.96871                      1.266000                      
548        -58.93350                      1.163800                      
549        -58.92942                      1.201300                      
550        -58.91110                      1.291200                      
551        -58.90802                      1.239600                      
552        -58.90030                      1.236400                      
553        -58.89057                      1.245800                      
554        -58.83563                      1.333900                      
555        -58.81476                      1.220900                      
556        -58.81025                      1.176800                      
557        -58.79171                      1.269500                      
558        -58.77447                      1.240600                      
559        -58.76064                      1.192900                      
560        -58.75239                      1.210200                      
561        -58.74521                      1.234900                      
562        -58.74367                      1.215100                      
563        -58.70464                      1.151300                      
564        -58.69092                      1.260800                      
565        -58.67625                      1.196800                      
566        -58.66768                      1.273900                      
567        -58.65824                      1.180600                      
568        -58.64739                      1.224200                      
569        -58.63507                      1.139900                      
570        -58.63272                      1.362600                      
571        -58.61992                      1.258000                      
572        -58.61329                      1.294800                      
573        -58.60593                      1.164500                      
574        -58.58305                      1.277100                      
575        -58.56753                      1.239200                      
576        -58.56642                      1.195100                      
577        -58.55674                      1.164600                      
578        -58.53803                      1.332500                      
579        -58.51993                      1.293800                      
580        -58.49965                      1.234600                      
581        -58.49962                      1.273700                      
582        -58.49209                      1.241300                      
583        -58.46970                      1.278300                      
584        -58.45548                      1.314700                      
585        -58.44103                      1.234000                      
586        -58.42207                      1.142700                      
587        -58.41077                      1.194200                      
588        -58.39911                      1.178600                      
589        -58.39505                      1.188900                      
590        -58.38558                      1.231200                      
591        -58.38099                      1.222700                      
592        -58.38084                      1.114200                      
593        -58.37829                      1.220500                      
594        -58.37570                      1.235700                      
595        -58.36859                      1.173600                      
596        -58.36578                      1.200500                      
597        -58.34276                      1.202900                      
598        -58.34012                      1.175100                      
599        -58.29006                      1.264700                      
600        -58.28514                      1.180300                      
601        -58.26160                      1.240100                      
602        -58.24282                      1.257700                      
603        -58.23807                      1.165900                      
604        -58.23461                      1.307100                      
605        -58.22720                      1.276100                      
606        -58.21993                      1.249400                      
