Folder	CrystalPredictor_Ulatt(kJ/mol)	CrystalPredictor_Density(g/cm3)
516	-56.1678	1.2666
517	-56.1476	1.2631
518	-56.1410	1.2309
519	-56.1371	1.2136
520	-56.1024	1.1906
521	-56.0977	1.1895
522	-56.0814	1.2507
523	-56.0783	1.2384
524	-56.0605	1.2360
525	-56.0550	1.1278
526	-56.0483	1.2028
527	-56.0460	1.1988
528	-56.0312	1.2187
529	-56.0289	1.3012
530	-56.0287	1.3373
531	-56.0239	1.1954
532	-56.0008	1.2157
533	-55.9892	1.2745
534	-55.9689	1.2502
535	-55.9510	1.2325
536	-55.9392	1.1850
537	-55.9368	1.2865
538	-55.9341	1.2379
539	-55.9315	1.2381
540	-55.9241	1.2596
541	-55.9239	1.2735
542	-55.9204	1.2373
543	-55.8968	1.3007
544	-55.8939	1.2213
545	-55.8856	1.2356
546	-55.8828	1.2378
547	-55.8669	1.2410
548	-55.8625	1.2511
549	-55.8565	1.2172
550	-55.8410	1.1481
551	-55.8410	1.1481
552	-55.8297	1.2459
553	-55.8252	1.2680
554	-55.8190	1.2751
555	-55.8106	1.2724
556	-55.8099	1.3356
557	-55.7960	1.1821
558	-55.7914	1.2966
559	-55.7473	1.1691
560	-55.7435	1.1269
561	-55.7387	1.3429
562	-55.7204	1.2812
563	-55.7170	1.2812
564	-55.7151	1.2470
565	-55.6971	1.1990
566	-55.6969	1.3206
567	-55.6956	1.2631
568	-55.6799	1.2330
569	-55.6773	1.2207
570	-55.6770	1.2521
571	-55.6750	1.2253
572	-55.6495	1.2824
573	-55.6379	1.3271
574	-55.6232	1.2422
575	-55.6167	1.2396
576	-55.6039	1.1958
577	-55.5980	1.3004
578	-55.5919	1.2551
579	-55.5877	1.2183
580	-55.5873	1.2360
581	-55.5858	1.2182
582	-55.5680	1.3297
583	-55.5603	1.3432
584	-55.5570	1.2381
585	-55.5527	1.2495
586	-55.5510	1.2578
587	-55.5412	1.2501
588	-55.5411	1.2213
589	-55.5370	1.1980
590	-55.5342	1.2498
591	-55.5168	1.1366
592	-55.4934	1.2382
593	-55.4840	1.2169
594	-55.4785	1.3106
595	-55.4682	1.2186
596	-55.4402	1.1490
597	-55.4385	1.2420
598	-55.4362	1.2701
599	-55.4053	1.2832
600	-55.3815	1.2372
601	-55.3771	1.2193
602	-55.3671	1.0875
603	-55.3583	1.2211
604	-55.3470	1.1429
605	-55.3464	1.1487
606	-55.3445	1.2738
607	-55.3305	1.2247
608	-55.3257	1.1913
609	-55.3256	1.2623
610	-55.3161	1.2600
611	-55.3134	1.1108
612	-55.3075	1.2251
613	-55.3060	1.2420
614	-55.3049	1.1667
615	-55.2772	1.2367
616	-55.2723	1.2564
617	-55.2585	1.2303
618	-55.2568	1.2472
619	-55.2443	1.2099
620	-55.2222	1.1795
621	-55.2048	1.2334
622	-55.1970	1.2533
623	-55.1891	1.2406
624	-55.1862	1.1889
625	-55.1816	1.3011
626	-55.1766	1.1345
627	-55.1756	1.1183
628	-55.1579	1.1888
629	-55.1361	1.2563
630	-55.1361	1.2562
631	-55.1289	1.2158
632	-55.1280	1.2122
633	-55.1193	1.1373
634	-55.1002	1.2036
635	-55.1001	1.2817
636	-55.0882	1.3092
637	-55.0876	1.2483
638	-55.0872	1.2016
639	-55.0840	1.2971
640	-55.0767	1.2050
641	-55.0757	1.2333
642	-55.0699	1.2163
643	-55.0579	1.2064
644	-55.0472	1.1532
645	-55.0457	1.2701
646	-55.0452	1.1874
647	-55.0400	1.1943
648	-55.0346	1.2972
649	-55.0207	1.2009
650	-55.0089	1.1883
651	-55.0057	1.2349
652	-55.0004	1.2809
653	-54.9989	1.1246
654	-54.9872	1.1747
655	-54.9701	1.2062
656	-54.9452	1.2861
657	-54.9291	1.1950
658	-54.9286	1.2136
659	-54.9196	1.1891
660	-54.9165	1.2684
661	-54.9159	1.1755
662	-54.9157	1.2573
663	-54.9086	1.3369
664	-54.8995	1.1732
665	-54.8962	1.1699
666	-54.8878	1.2007
667	-54.8810	1.2562
668	-54.8790	1.3067
669	-54.8726	1.1771
670	-54.8705	1.2755
671	-54.8588	1.1538
672	-54.8472	1.1753
673	-54.8395	1.1996
674	-54.8338	1.3158
675	-54.8252	1.2959
676	-54.8181	1.2187
677	-54.8080	1.2060
678	-54.7959	1.2633
679	-54.7932	1.1664
680	-54.7877	1.2123
681	-54.7853	1.2533
682	-54.7516	1.2168
683	-54.7446	1.1929
684	-54.7366	1.2183
685	-54.7351	1.1915
686	-54.7350	1.1099
687	-54.7323	1.2697
688	-54.7290	1.2504
689	-54.7284	1.1313
690	-54.7239	1.2472
691	-54.7198	1.2393
692	-54.6945	1.1511
